     #v1       v2       v3       v4       v5       v6       v7  v8           v9        z
0.874335 0.271150 0.969445 0.856127 0.374743 0.894346 0.414925 0.0 8.297720e-01 0.697296
0.541234 0.947532 0.467824 0.092297 0.482507 0.747468 0.434109 0.0 2.180860e-01 0.380530
0.176390 0.484485 0.238439 0.136236 0.498353 0.688374 0.507217 1.0 5.227501e-02 0.290129
0.043172 0.755097 0.925180 0.801257 0.669486 0.559499 0.640841 0.0 8.250908e-01 0.751813
0.084136 0.058568 0.315165 0.005914 0.393162 0.517425 0.458254 0.0 8.421548e-02 0.228512
0.057162 0.868008 0.236068 0.059256 0.628069 0.283396 0.586623 1.0 5.482286e-02 0.328745
0.181878 0.606585 0.951962 0.783162 0.162269 0.578722 0.164281 1.0 8.510116e-01 0.825694
0.317133 0.086053 0.443690 0.055540 0.563437 0.135447 0.619094 0.0 1.677684e-01 0.253902
0.037296 0.431111 0.429056 0.062862 0.663992 0.468212 0.675330 0.0 1.675270e-01 0.296703
0.260614 0.878514 0.097942 0.018302 0.375019 0.364321 0.337468 0.0 9.470326e-03 0.293062
0.433125 0.672092 0.211207 0.155545 0.686972 0.628396 0.667499 1.0 4.242526e-02 0.340570
0.947562 0.215265 0.756793 0.768926 0.968805 0.691114 1.000000 0.0 5.003533e-01 0.537005
0.671765 0.484813 0.683686 0.906991 0.609173 0.691073 0.613535 1.0 4.294663e-01 0.535925
0.702492 0.573505 0.140649 0.116960 0.400589 0.444917 0.400283 1.0 1.850001e-02 0.243660
0.965496 0.429118 0.434942 0.120202 0.409047 0.614097 0.427959 1.0 1.720900e-01 0.347791
0.475856 0.987597 0.998582 0.750175 0.511583 0.366609 0.457333 0.0 1.000000e+00 0.881708
0.172364 0.869968 0.414500 0.021878 0.275227 0.421771 0.241617 1.0 1.689853e-01 0.393240
0.723773 0.326263 0.151742 0.071866 0.368098 0.375419 0.401398 0.0 2.057554e-02 0.230824
0.447052 0.813640 0.403029 0.143651 0.478282 0.278660 0.445194 0.0 1.582321e-01 0.360223
0.733343 0.557051 0.104008 0.085516 0.482251 0.750863 0.482114 0.0 1.009412e-02 0.207881
0.043184 0.562971 0.136772 0.151716 0.457948 0.832149 0.457363 1.0 1.746212e-02 0.302022
0.858694 0.568165 0.475021 0.164925 0.390792 0.320655 0.392470 0.0 2.105092e-01 0.334012
0.848841 0.750065 0.757511 0.867205 0.644912 0.340634 0.616386 0.0 5.526866e-01 0.624069
0.046176 0.289886 0.571115 0.687799 0.267518 0.530109 0.306328 0.0 2.890628e-01 0.403363
0.408748 0.642657 0.042743 0.058024 0.440311 0.598045 0.430195 0.0 1.738014e-03 0.223600
0.675710 0.454283 0.125219 0.043103 0.683085 0.727138 0.691185 0.0 1.435367e-02 0.243618
0.456324 0.431136 0.767970 0.846208 0.456581 0.467174 0.472206 1.0 5.365562e-01 0.597825
0.230461 0.973015 0.340416 0.055569 0.580574 0.567643 0.527408 1.0 1.159959e-01 0.376582
0.167025 0.598498 0.932560 0.736586 0.611946 0.410940 0.604821 0.0 8.155042e-01 0.678632
0.429505 0.890044 0.286106 0.165781 0.031653 0.279962 0.001348 1.0 8.081162e-02 0.366417
0.780861 0.305137 0.282536 0.050952 0.354141 0.330003 0.388957 0.0 7.098577e-02 0.215428
0.968224 0.851000 0.613076 0.859740 0.198369 0.616022 0.169807 0.0 3.684026e-01 0.492762
0.858267 0.330437 0.387719 0.056659 0.567635 0.428911 0.593452 0.0 1.342766e-01 0.232321
0.608194 0.103283 0.513887 0.814030 0.641266 0.588223 0.692669 1.0 2.257956e-01 0.411615
0.087093 0.953165 0.189111 0.136472 0.647918 0.382694 0.595530 0.0 3.570340e-02 0.278831
0.906783 0.751602 0.718664 0.772987 0.274228 0.410792 0.254181 0.0 4.975969e-01 0.516011
0.941220 0.560115 0.930653 0.681607 0.455512 0.390086 0.456843 0.0 8.066068e-01 0.710900
0.452519 0.209120 0.790741 0.777076 0.337821 0.635740 0.383763 0.0 5.455964e-01 0.585074
0.867947 0.618366 0.729716 0.826372 0.383459 0.947874 0.378625 0.0 5.011367e-01 0.592317
0.206981 0.269874 0.878613 0.923408 0.353567 0.876172 0.393442 1.0 6.814218e-01 0.621719
0.793965 0.661460 0.761702 0.830605 0.653345 0.275205 0.636941 0.0 5.502092e-01 0.659391
0.500577 0.912676 0.099189 0.150942 0.685256 0.625532 0.635424 1.0 9.769024e-03 0.321288
0.521990 0.212623 0.693893 0.790007 0.422566 0.331886 0.467112 1.0 4.204393e-01 0.555716
0.121252 0.023635 0.624059 0.961854 0.428144 0.409410 0.496302 0.0 3.277625e-01 0.422233
0.608585 0.893146 0.996371 0.738806 0.412020 0.708287 0.371210 0.0 9.798780e-01 0.833241
0.253149 0.860833 0.079055 0.163148 0.512069 0.437141 0.471889 1.0 6.155913e-03 0.280100
0.683001 0.570348 0.478407 0.054279 0.815098 0.165645 0.804471 0.0 2.136038e-01 0.332847
0.179138 0.418158 0.146951 0.029604 0.475038 0.520868 0.492907 1.0 1.963061e-02 0.225044
0.233386 0.104923 0.645375 0.873503 0.625352 0.370558 0.677299 1.0 3.561992e-01 0.478991
0.334369 0.925546 0.967081 0.894620 0.377300 0.294295 0.334042 0.0 9.281973e-01 0.868050
0.510207 0.350738 0.673685 0.759907 0.278003 0.399739 0.310852 0.0 4.068079e-01 0.455838
0.882887 0.758442 0.276035 0.150340 0.466317 0.313431 0.440276 0.0 7.354555e-02 0.266134
0.653233 0.250026 0.818566 0.789059 0.532068 0.281242 0.570108 0.0 5.892519e-01 0.592133
0.550983 0.996619 0.405737 0.078376 0.361325 0.155869 0.310605 0.0 1.654099e-01 0.369856
0.817891 0.169829 0.285184 0.047693 0.557213 0.548545 0.602320 0.0 7.047805e-02 0.210423
0.786146 0.225253 0.821338 0.972675 0.523941 0.289601 0.565043 0.0 5.904509e-01 0.552535
0.337728 0.011914 0.124347 0.152055 0.386546 0.413170 0.457837 0.0 1.300721e-02 0.249909
0.547895 0.855446 0.756428 0.720185 0.324823 0.524317 0.292075 0.0 5.612028e-01 0.670971
0.654454 0.254017 0.241563 0.044022 0.412044 0.183950 0.452328 0.0 5.139927e-02 0.247331
0.740459 0.334425 0.411701 0.037280 0.251258 0.460778 0.284367 1.0 1.515073e-01 0.344926
0.614544 0.560199 0.022022 0.087434 0.361220 0.326433 0.364015 0.0 4.575601e-04 0.168365
0.528915 0.970493 0.479023 0.007662 0.753684 0.389738 0.695135 1.0 2.295316e-01 0.451259
0.953639 0.627752 0.101450 0.132779 0.373103 0.599968 0.367662 0.0 9.726650e-03 0.222425
0.805213 0.073557 0.703203 0.691628 0.448492 0.527981 0.509194 0.0 4.202800e-01 0.465978
0.927322 0.833913 0.981424 0.907537 0.444276 0.764434 0.410451 1.0 9.411532e-01 0.900000
0.854307 0.690463 0.432805 0.003281 0.326018 0.555040 0.312883 0.0 1.786029e-01 0.342270
0.706496 0.366285 0.687705 0.793649 0.624744 0.221372 0.643754 0.0 4.251431e-01 0.503102
0.464188 0.306689 0.536753 0.855967 0.504726 0.576180 0.534293 0.0 2.561439e-01 0.400861
0.839120 0.254366 0.889752 0.715368 0.812498 0.532368 0.842849 1.0 6.967508e-01 0.624217
0.668817 0.565652 0.382566 0.031144 0.554955 0.729668 0.552395 1.0 1.364985e-01 0.329936
0.134639 0.085308 0.800205 0.820755 0.681073 0.332860 0.734591 0.0 5.454589e-01 0.501510
0.769654 0.525476 0.628761 0.796608 0.681733 0.200471 0.679514 0.0 3.659407e-01 0.508212
0.752396 0.071179 0.544699 0.675658 0.614775 0.188950 0.672657 0.0 2.520808e-01 0.357160
0.609016 0.611367 0.625803 0.767037 0.531779 0.255313 0.522481 0.0 3.681389e-01 0.458800
0.579470 0.307997 0.866307 0.838503 0.422955 0.118210 0.456608 0.0 6.672604e-01 0.678629
0.158965 0.301688 0.748497 0.755524 0.562561 0.300015 0.591708 1.0 4.975527e-01 0.576339
0.188022 0.241399 0.982337 0.746600 0.203172 0.318871 0.250861 0.0 8.471771e-01 0.697562
0.082987 0.636191 0.825707 0.779954 0.587606 0.542076 0.573763 0.0 6.436576e-01 0.611140
0.125353 0.222638 0.802309 0.882843 0.456670 0.683825 0.498924 1.0 5.631306e-01 0.606266
0.252533 0.731977 0.214122 0.004186 0.373879 0.356461 0.355033 0.0 4.406393e-02 0.294715
0.643248 0.313062 0.429287 0.055519 0.338914 0.342000 0.373184 0.0 1.640632e-01 0.304199
0.849220 0.605285 0.637590 0.796364 0.511494 0.936797 0.505290 0.0 3.817203e-01 0.474579
0.670931 0.130636 0.071232 0.001339 0.622130 0.241931 0.670607 1.0 4.377099e-03 0.172524
0.641656 0.877883 0.024814 0.017446 0.344634 0.561781 0.309447 0.0 6.131993e-04 0.239666
0.613579 0.048301 0.740294 0.705338 0.413219 0.489809 0.480085 1.0 4.634580e-01 0.519065
0.190817 0.628199 0.450475 0.165050 0.137156 0.358713 0.139038 0.0 1.913627e-01 0.348865
0.043220 0.029130 0.166118 0.098397 0.541439 0.548631 0.604499 0.0 2.327990e-02 0.180690
0.419718 0.184751 0.058519 0.070476 0.475254 0.495015 0.522545 1.0 2.987978e-03 0.281197
0.070844 0.440957 0.728175 0.677839 0.545495 0.427218 0.556880 0.0 4.832723e-01 0.514059
0.806923 0.784636 0.536600 0.741795 0.288874 0.597599 0.265877 1.0 2.790441e-01 0.460359
0.571344 0.003714 0.369750 0.135721 0.426305 0.263688 0.497333 1.0 1.146407e-01 0.313951
0.444385 0.603633 0.113086 0.165723 0.386162 0.582134 0.384172 0.0 1.203048e-02 0.208619
